"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Kyle Hurt","LAD","RP","37.9","40","2","0","4.24","1.37","18","34","18","5","20","4","2","0"
"Jose Corniell","TEX","SP,RP","19.6","18","1","0","3.71","1.18","8","17","6","2","16","0","1","0"
"Richard Lovelady","WSH","RP","45.9","41","2","0","4.12","1.30","21","44","16","5","45","0","2","0"
"Ronel Blanco","HOU","SP","19.4","20","1","0","4.27","1.30","9","17","8","3","9","2","1","0"
"Connor Brogdon","CLE","RP","51.0","51","2","0","4.49","1.35","25","48","21","8","49","0","3","0"
"Nick Sandlin","LAA","RP","41.8","43","2","0","4.36","1.32","20","37","19","6","43","0","2","0"
"Yosver Zulueta","SEA","RP","22.2","23","1","0","3.85","1.35","9","19","11","2","21","0","1","0"
"Kyle Wright","CHC","SP","29.2","26","2","0","4.41","1.37","14","29","11","4","17","2","2","0"
"Reiver Sanmartin","SF","RP","38.0","28","2","0","4.11","1.37","17","40","12","4","36","0","2","0"
"Tommy Kahnle","","RP","51.4","46","2","1","4.37","1.40","25","48","24","6","53","0","3","0"
"Ryan Johnson","LAA","RP","27.1","26","1","0","4.27","1.34","13","27","9","4","23","1","2","0"
"Luke Little","CHC","RP","19.7","22","1","0","3.69","1.38","8","16","12","2","20","0","1","0"
"Griff McGarry","WSH","SP","50.6","56","2","0","4.29","1.44","24","42","30","6","46","0","2","0"
"Carlos Rodriguez","MIL","RP","36.1","33","2","0","4.38","1.32","18","33","14","5","28","2","2","0"
"Justin Hagenman","NYM","RP","26.2","24","1","0","4.18","1.21","12","25","7","4","22","0","1","0"
"Steven Wilson","TB","RP","46.2","45","2","0","4.69","1.35","24","42","21","8","47","0","2","0"
"Luke Jackson","","RP","43.9","40","2","1","4.30","1.40","21","41","21","5","44","0","2","0"
"Ethan Roberts","CHC","RP","37.3","37","2","0","4.28","1.34","18","34","15","5","36","0","2","0"
"Ryan Feltner","COL","SP","102.3","82","4","0","5.15","1.49","59","110","43","15","28","17","7","0"
"Tim Mayza","PHI","RP","27.1","23","2","0","4.11","1.36","12","27","9","3","28","0","1","0"
"Andrew Morris","MIN","SP","18.1","15","1","0","4.18","1.31","8","19","5","2","16","1","1","0"
"Kyle Hart","SD","SP,RP","35.2","31","2","0","4.45","1.34","17","34","13","5","28","1","2","0"
"Philip Abner","ARI","RP","22.3","21","1","0","4.11","1.34","10","21","9","3","23","0","1","0"
"Drew Thorpe","CWS","SP","43.3","33","2","0","4.75","1.37","23","43","16","7","9","8","3","0"
"Andrew Hoffmann","ARI","RP","33.2","30","2","0","4.28","1.39","16","33","13","4","31","0","2","0"
"Easton McGee","MIL","RP","27.3","23","1","0","4.10","1.28","12","26","9","3","24","0","1","0"
"Hunter Stratton","ATL","RP","23.7","22","1","0","4.22","1.32","11","23","8","3","23","0","1","0"
